fight_id,round,name,kd,sig_l,sig_a,sig_p,total_l,total_a,td_l,td_a,td_p,sub,rev,ctrl,head_l,head_a,body_l,body_a,leg_l,leg_a,distance_l,distance_a,clinch_l,clinch_a,ground_l,ground_a
2061,1,Anthony Birchak,0,14,35,40%,26,49,0,1,0%,1,1,0:27,10,28,2,5,2,2,9,30,1,1,4,4
2061,2,Tony Gravely,1,7,10,70%,11,17,1,1,100%,0,0,1:14,4,6,2,3,1,1,5,6,0,2,2,2
2061,2,Anthony Birchak,0,4,10,40%,4,10,0,0,---,0,0,0:00,1,6,2,3,1,1,2,6,2,4,0,0
2062,1,Marvin Vettori,0,9,24,37%,24,44,1,2,50%,0,0,2:59,8,22,1,2,0,0,5,18,2,4,2,2
2062,1,Kevin Holland,0,16,43,37%,36,64,0,0,---,0,0,0:01,5,27,3,6,8,10,13,38,3,5,0,0
2062,2,Marvin Vettori,0,8,17,47%,49,84,2,3,66%,0,0,4:26,8,17,0,0,0,0,3,5,0,0,5,12
2062,2,Kevin Holland,0,7,10,70%,17,23,0,0,---,0,0,0:00,6,9,1,1,0,0,7,10,0,0,0,0
2062,3,Marvin Vettori,0,6,16,37%,10,24,3,4,75%,1,0,3:38,5,15,1,1,0,0,6,15,0,1,0,0
2062,3,Kevin Holland,0,8,23,34%,25,40,0,0,---,0,0,0:02,8,19,0,2,0,2,5,17,3,6,0,0
2062,4,Marvin Vettori,0,1,5,20%,29,46,2,4,50%,0,0,4:27,1,5,0,0,0,0,1,3,0,0,0,2
2062,4,Kevin Holland,0,4,16,25%,19,34,0,0,---,0,0,0:00,3,15,1,1,0,0,4,13,0,3,0,0
2062,5,Marvin Vettori,0,0,2,0%,40,52,3,4,75%,0,0,4:31,0,2,0,0,0,0,0,2,0,0,0,0
2062,5,Kevin Holland,0,2,11,18%,41,53,0,0,---,0,0,0:00,2,11,0,0,0,0,2,7,0,4,0,0
2063,1,Arnold Allen,1,10,28,35%,11,30,2,2,100%,0,0,2:37,8,24,2,3,0,1,8,24,1,3,1,1
2063,1,Sodiq Yusuff,0,13,30,43%,19,38,0,0,---,1,0,0:09,3,16,5,9,5,5,10,24,3,6,0,0
2063,2,Arnold Allen,0,9,27,33%,13,31,0,0,---,0,0,1:01,6,24,3,3,0,0,8,24,1,1,0,2
2063,2,Sodiq Yusuff,0,18,53,33%,29,66,0,0,---,0,0,0:05,10,45,4,4,4,4,16,49,2,4,0,0
2063,3,Arnold Allen,0,2,6,33%,2,7,0,3,0%,0,0,1:31,1,5,1,1,0,0,0,4,2,2,0,0
2063,3,Sodiq Yusuff,0,16,30,53%,31,60,0,1,0%,0,0,2:19,11,24,3,4,2,2,3,13,13,17,0,0
2064,1,Sam Alvey,0,24,54,44%,24,54,0,0,---,0,0,0:00,16,44,4,5,4,5,23,53,1,1,0,0
2064,1,Julian Marquez,0,27,52,51%,28,53,0,0,---,0,0,0:00,19,38,8,14,0,0,26,51,1,1,0,0
2064,2,Sam Alvey,0,5,24,20%,5,24,0,0,---,0,0,0:05,5,20,0,3,0,1,5,24,0,0,0,0
2064,2,Julian Marquez,1,34,48,70%,34,48,0,0,---,1,0,0:16,27,40,7,8,0,0,15,24,0,0,19,24
2065,1,Nina Nunes,0,4,7,57%,5,8,0,0,---,0,0,0:00,2,5,1,1,1,1,4,7,0,0,0,0
2065,1,Mackenzie Dern,0,12,22,54%,31,44,1,2,50%,1,0,4:00,10,20,0,0,2,2,8,15,0,1,4,6
2066,1,Mike Perry,0,21,42,50%,25,47,1,1,100%,0,0,1:26,5,22,3,6,13,14,21,42,0,0,0,0
2066,1,Daniel Rodriguez,0,33,63,52%,36,67,0,0,---,0,0,0:00,22,50,2,4,9,9,33,63,0,0,0,0
2066,2,Mike Perry,0,16,42,38%,16,42,1,2,50%,0,0,0:51,9,31,5,6,2,5,15,41,1,1,0,0
2066,2,Daniel Rodriguez,0,43,81,53%,47,85,0,0,---,0,0,0:00,30,65,4,5,9,11,43,81,0,0,0,0
2066,3,Mike Perry,0,24,48,50%,24,48,0,1,0%,0,0,0:32,13,32,6,9,5,7,24,47,0,1,0,0
2066,3,Daniel Rodriguez,0,53,91,58%,62,100,0,1,0%,0,0,0:00,38,76,5,5,10,10,53,91,0,0,0,0
