fight_id,round,name,kd,sig_l,sig_a,sig_p,total_l,total_a,td_l,td_a,td_p,sub,rev,ctrl,head_l,head_a,body_l,body_a,leg_l,leg_a,distance_l,distance_a,clinch_l,clinch_a,ground_l,ground_a
3777,2,Deiveson Figueiredo,0,5,17,29%,5,17,1,3,33%,2,0,0:29,4,12,1,5,0,0,5,17,0,0,0,0
3777,2,Jarred Brooks,0,11,16,68%,30,37,2,2,100%,0,0,2:22,10,15,1,1,0,0,3,7,2,2,6,7
3777,3,Deiveson Figueiredo,0,9,19,47%,10,20,0,0,---,3,0,0:08,5,15,4,4,0,0,7,17,2,2,0,0
3777,3,Jarred Brooks,0,3,11,27%,10,19,3,6,50%,0,0,2:26,3,11,0,0,0,0,3,9,0,2,0,0
3778,1,Marcelo Golm,0,35,54,64%,47,70,1,1,100%,1,0,1:22,32,51,1,1,2,2,7,14,8,17,20,23
3778,1,Christian Colombo,0,2,8,25%,4,10,0,0,---,0,0,0:00,1,7,1,1,0,0,1,7,1,1,0,0
3779,1,Donald Cerrone,0,14,24,58%,14,24,1,2,50%,0,0,0:29,2,8,5,8,7,8,13,23,1,1,0,0
3779,1,Darren Till,1,24,55,43%,24,55,0,0,---,0,0,0:04,23,54,0,0,1,1,18,40,4,11,2,4
3780,1,Karolina Kowalkiewicz,0,29,106,27%,29,106,0,0,---,0,0,0:00,21,91,5,12,3,3,28,104,1,2,0,0
3780,1,Jodie Esquibel,0,24,76,31%,24,76,0,0,---,0,0,0:00,11,43,8,28,5,5,24,76,0,0,0,0
3780,2,Karolina Kowalkiewicz,0,51,107,47%,64,120,1,2,50%,0,0,0:09,42,92,9,15,0,0,34,86,12,16,5,5
3780,2,Jodie Esquibel,0,19,41,46%,20,42,0,0,---,0,0,1:12,10,26,6,12,3,3,12,34,3,3,4,4
3780,3,Karolina Kowalkiewicz,0,47,120,39%,49,122,0,0,---,0,0,0:01,32,101,14,17,1,2,33,104,14,16,0,0
3780,3,Jodie Esquibel,0,22,58,37%,22,58,0,1,0%,0,0,0:00,16,47,3,8,3,3,21,56,1,2,0,0
3781,1,Jan Blachowicz,0,20,26,76%,28,34,0,0,---,0,0,1:23,6,11,10,11,4,4,13,19,7,7,0,0
3781,1,Devin Clark,0,12,28,42%,20,36,0,1,0%,0,0,0:19,4,18,1,2,7,8,7,22,5,6,0,0
3781,2,Jan Blachowicz,0,13,18,72%,22,29,1,1,100%,1,0,1:18,8,12,4,5,1,1,8,13,0,0,5,5
3781,2,Devin Clark,0,3,15,20%,11,24,0,1,0%,0,0,0:06,2,10,0,3,1,2,3,15,0,0,0,0
3782,1,Oskar Piechota,0,18,26,69%,28,40,0,2,0%,2,0,2:01,13,20,1,2,4,4,6,13,12,13,0,0
3782,1,Jonathan Wilson,0,4,15,26%,4,15,0,0,---,0,0,0:00,1,11,1,1,2,3,4,15,0,0,0,0
3782,2,Oskar Piechota,1,16,33,48%,16,33,0,0,---,0,0,0:04,8,23,4,6,4,4,15,31,0,0,1,2
3782,2,Jonathan Wilson,0,10,33,30%,10,33,0,0,---,0,0,0:00,5,27,1,2,4,4,10,33,0,0,0,0
3782,3,Oskar Piechota,0,22,34,64%,36,48,1,1,100%,1,0,2:14,19,29,3,4,0,1,9,20,0,0,13,14
3782,3,Jonathan Wilson,0,3,12,25%,3,12,0,0,---,0,0,0:22,3,12,0,0,0,0,3,12,0,0,0,0
3783,1,Marcin Held,0,8,45,17%,19,60,1,3,33%,0,0,2:21,7,43,0,1,1,1,7,43,0,0,1,2
3783,1,Nasrat Haqparast,0,11,32,34%,12,33,0,0,---,0,0,0:00,6,26,2,3,3,3,11,32,0,0,0,0
3783,2,Marcin Held,0,7,31,22%,27,53,1,4,25%,0,0,2:43,7,30,0,1,0,0,4,27,0,0,3,4
3783,2,Nasrat Haqparast,1,10,21,47%,12,23,1,1,100%,0,0,0:23,6,16,3,3,1,2,8,18,2,2,0,1
