fight_id,fighter1,fighter2,result,bout,method,round,time,format,ref
4615,CB Dollaway,Nate Marquardt,Nate Marquardt,Middleweight Bout,KO/TKO,2,0:28,3 Rnd (5-5-5),Herb Dean
4616,Sarah Kaufman,Valentina Shevchenko,Valentina Shevchenko,Women's Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Dan Miragliotta
4617,Josh Samman,Tamdan McCrory,Tamdan McCrory,Middleweight Bout,Submission,3,4:10,3 Rnd (5-5-5),Jorge Alonso
4618,Nik Lentz,Danny Castillo,Nik Lentz,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),John Hosegood
4619,Cole Miller,Jim Alers,NC,Featherweight Bout,Could Not Continue,2,1:34,3 Rnd (5-5-5),Herb Dean
4620,Kamaru Usman,Leon Edwards,Kamaru Usman,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta
4621,Hayder Hassan,Vicente Luque,Vicente Luque,Welterweight Bout,Submission,1,2:13,3 Rnd (5-5-5),Jorge Alonso
4622,Francis Ngannou,Luis Henrique,Francis Ngannou,Heavyweight Bout,KO/TKO,2,2:53,3 Rnd (5-5-5),John Hosegood
4623,Jose Aldo,Conor McGregor,Conor McGregor,UFC Featherweight Title Bout,KO/TKO,1,0:13,5 Rnd (5-5-5-5-5),John McCarthy
4624,Chris Weidman,Luke Rockhold,Luke Rockhold,UFC Middleweight Title Bout,KO/TKO,4,3:12,5 Rnd (5-5-5-5-5),Herb Dean
4625,Jacare Souza,Yoel Romero,Yoel Romero,Middleweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard
4626,Demian Maia,Gunnar Nelson,Demian Maia,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy
4627,Max Holloway,Jeremy Stephens,Max Holloway,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),
4628,Urijah Faber,Frankie Saenz,Urijah Faber,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard
4629,Tecia Pennington,Jocelyn Jones-Lybarger,Tecia Pennington,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean
4630,Warlley Alves,Colby Covington,Warlley Alves,Welterweight Bout,Submission,1,1:26,3 Rnd (5-5-5),Mark Smith
4631,Leonardo Santos,Kevin Lee,Leonardo Santos,Lightweight Bout,KO/TKO,1,3:26,3 Rnd (5-5-5),John McCarthy
4632,Joe Proctor,Magomed Mustafaev,Magomed Mustafaev,Lightweight Bout,KO/TKO,1,1:54,3 Rnd (5-5-5),Mark Smith
4633,John Makdessi,Yancy Medeiros,Yancy Medeiros,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard
4634,Court McGee,Marcio Alexandre Junior,Court McGee,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith
4635,Frankie Edgar,Chad Mendes,Frankie Edgar,Featherweight Bout,KO/TKO,1,2:28,5 Rnd (5-5-5-5-5),John McCarthy
4636,Artem Lobov,Ryan Hall,Ryan Hall,Ultimate Fighter 22 Lightweight Tournament Title Bout,Decision - Unanimous,3,5:00,3 Rnd + OT (5-5-5-5),Herb Dean
4637,Edson Barboza,Tony Ferguson,Tony Ferguson,Lightweight Bout,Submission,2,2:54,3 Rnd (5-5-5),John McCarthy
4638,Joe Lauzon,Evan Dunham,Evan Dunham,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean
4639,Tatsuya Kawajiri,Jason Knight,Tatsuya Kawajiri,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy
4640,Julian Erosa,Marcin Wrzosek,Julian Erosa,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog
4641,Gabriel Gonzaga,Konstantin Erokhin,Gabriel Gonzaga,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni
4642,Ryan LaFlare,Mike Pierce,Ryan LaFlare,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog
4643,Joby Sanchez,Geane Herrera,Geane Herrera,Flyweight Bout,KO/TKO,2,4:28,3 Rnd (5-5-5),Chris Tognoni
4644,Chris Gruetzemacher,Abner Lloveras,Chris Gruetzemacher,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog
